model,id,polarity,category,margin,polarity_ok,nn_id,nn_text,category_ok
charngram,P-defined_term-02,pos,defined_term,0.5048,True,P-undefined_natural-02,Ingredienti di origine naturale,False
charngram,P-defined_term-03,pos,defined_term,0.1298,True,P-defined_term-02,"Ingredienti di origine naturale* ... *il 95% degli ingredienti deriva da piante, minerali o acqua",True
charngram,P-defined_term-04,pos,defined_term,0.0996,True,P-defined_term-01,96% Natural origin* ... water and naturally sourced ingredients with limited processing,True
charngram,P-risk_reduction-01,pos,risk_reduction,0.3599,True,P-risk_reduction-02,Aiuta a ridurre il rischio di arrossamenti,True
charngram,P-risk_reduction-02,pos,risk_reduction,0.4063,True,P-risk_reduction-01,aiutano a ridurre il rischio di irritazione della pelle,True
charngram,P-risk_reduction-03,pos,risk_reduction,0.3771,True,P-risk_reduction-02,Aiuta a ridurre il rischio di arrossamenti,True
charngram,P-named_comparison-01,pos,named_comparison,0.324,True,P-vague_comparison-02,75% In meno di plastica,False
charngram,P-named_comparison-02,pos,named_comparison,0.1156,True,P-named_comparison-01,20% di plastica in meno rispetto al nostro flacone da 500 ml,True
charngram,P-named_comparison-03,pos,named_comparison,0.2019,True,P-named_comparison-01,20% di plastica in meno rispetto al nostro flacone da 500 ml,True
charngram,P-pollutant_free-01,pos,pollutant_free,0.0,False,P-pollutant_free-02,Senza fosfati,True
charngram,P-pollutant_free-02,pos,pollutant_free,-0.0131,False,N-free_from_non_pollutant-02,Senza glutine,False
charngram,P-pollutant_free-03,pos,pollutant_free,-0.0205,False,N-quality_scheme-02,Prosciutto di Parma DOP,False
charngram,P-pollutant_free-04,pos,pollutant_free,-0.0131,False,N-free_from_non_pollutant-06,Senza parabeni,False
charngram,N-health_nutrition-01,neg,health_nutrition,-0.2542,True,N-health_nutrition-02,Contiene curcuma che possiede proprietà antiossidanti,True
charngram,N-health_nutrition-02,neg,health_nutrition,-0.2484,True,N-health_nutrition-01,Speziato e Antiossidante,True
charngram,N-health_nutrition-03,neg,health_nutrition,-0.0523,True,N-tradition_history-04,le inimitabili ricette di famiglia,False
charngram,N-health_nutrition-04,neg,health_nutrition,0.1276,False,P-generic_green-02,gestito con ecosostenibilità,False
charngram,N-performance-01,neg,performance,-0.2703,True,N-performance-08,protegge i capelli dal crespo e da aggressioni esterne,True
charngram,N-performance-02,neg,performance,-0.1392,True,N-performance-04,Progettato con setole dalla punta 4 volte più sottile per una pulizia delicata** ... rispetto a filamenti arrotondati standard,True
charngram,N-performance-03,neg,performance,0.0006,False,P-brand_eco_slogan-07,Il gusto di amare il pianeta,False
charngram,N-performance-04,neg,performance,-0.0261,True,N-performance-02,Pulizia profonda,True
charngram,N-performance-05,neg,performance,0.0456,False,P-generic_green-07,brik-eco sostenibile,False
charngram,N-performance-06,neg,performance,-0.0417,True,N-quality_scheme-04,Denominazione di Origine Protetta,False
charngram,N-performance-07,neg,performance,-0.0871,True,N-quality_scheme-04,Denominazione di Origine Protetta,False
charngram,N-performance-08,neg,performance,-0.2189,True,N-performance-01,Protegge dagli agenti esterni,True
charngram,N-tests_tolerance-01,neg,tests_tolerance,0.0528,False,P-brand_eco_slogan-03,Fiorentini per l'ambiente,False
charngram,N-tests_tolerance-02,neg,tests_tolerance,0.0354,False,P-certification-05,Cosmetico biologico certificato ICEA,False
charngram,N-tests_tolerance-03,neg,tests_tolerance,0.0173,False,P-farming_practice-05,Raccolti a mano,False
charngram,N-tests_tolerance-04,neg,tests_tolerance,0.1167,False,P-vegan-03,Adatto a una dieta vegana,False
charngram,N-tradition_history-01,neg,tradition_history,-0.1067,True,N-quality_scheme-03,Specialità Tradizionale Garantita,False
charngram,N-tradition_history-02,neg,tradition_history,-0.0186,True,N-quality_scheme-04,Denominazione di Origine Protetta,False
charngram,N-tradition_history-03,neg,tradition_history,0.013,False,P-generic_green-03,garantisce una produzione sostenibile in armonia con la natura,False
charngram,N-tradition_history-04,neg,tradition_history,-0.0697,True,N-sales_rank-03,Scelto da milioni di famiglie,False
charngram,N-patents-01,neg,patents,-0.0883,True,N-quality_scheme-03,Specialità Tradizionale Garantita,False
charngram,N-patents-02,neg,patents,0.2273,False,P-biodegradable-02,Formula biodegradabile,False
charngram,N-patents-03,neg,patents,0.0041,False,P-risk_reduction-03,Riduce il rischio di carie,False
charngram,N-origin-01,neg,origin,-0.0556,True,N-sales_rank-01,N°1 in Italia,False
charngram,N-origin-02,neg,origin,-0.1483,True,N-sales_rank-01,N°1 in Italia,False
charngram,N-origin-03,neg,origin,0.0582,False,P-farming_practice-04,Coltivato senza l'uso di pesticidi di sintesi,False
charngram,N-quality_scheme-01,neg,quality_scheme,-0.0492,True,N-origin-01,100% Italiano,False
charngram,N-quality_scheme-02,neg,quality_scheme,0.0306,False,P-pollutant_free-03,Privo di PFAS,False
charngram,N-quality_scheme-03,neg,quality_scheme,-0.0662,True,N-tradition_history-01,il più tipico dei dolci tradizionali genovesi,False
charngram,N-quality_scheme-04,neg,quality_scheme,0.0658,False,P-undefined_natural-02,Ingredienti di origine naturale,False
charngram,N-free_from_non_pollutant-01,neg,free_from_non_pollutant,-0.0795,True,N-free_from_non_pollutant-04,Senza coloranti artificiali,True
charngram,N-free_from_non_pollutant-02,neg,free_from_non_pollutant,0.0131,False,P-pollutant_free-02,Senza fosfati,False
charngram,N-free_from_non_pollutant-03,neg,free_from_non_pollutant,0.0,True,P-pollutant_free-02,Senza fosfati,False
charngram,N-free_from_non_pollutant-04,neg,free_from_non_pollutant,-0.1327,True,N-free_from_non_pollutant-01,Senza conservanti,True
charngram,N-free_from_non_pollutant-05,neg,free_from_non_pollutant,0.0002,False,P-pollutant_free-02,Senza fosfati,False
charngram,N-free_from_non_pollutant-06,neg,free_from_non_pollutant,0.0131,False,P-pollutant_free-04,Senza siliconi,False
charngram,N-sales_rank-01,neg,sales_rank,-0.3602,True,N-origin-02,Prodotto in Italia,False
charngram,N-sales_rank-02,neg,sales_rank,0.0002,False,P-brand_eco_slogan-07,Il gusto di amare il pianeta,False
charngram,N-sales_rank-03,neg,sales_rank,-0.1361,True,N-tradition_history-04,le inimitabili ricette di famiglia,False
charngram,N-natural_flavour-01,neg,natural_flavour,0.022,False,P-undefined_natural-01,100% Naturale,False
charngram,N-natural_flavour-02,neg,natural_flavour,0.022,False,P-undefined_natural-01,100% Naturale,False
charngram,N-natural_flavour-03,neg,natural_flavour,-0.1208,True,N-natural_flavour-01,Aroma naturale,True
charngram,N-functional_packaging-01,neg,functional_packaging,-0.1292,True,N-functional_packaging-05,Confezione con apertura facilitata,True
charngram,N-functional_packaging-02,neg,functional_packaging,0.1519,False,P-generic_green-10,Eco pack 100% riciclabile - Con meno plastica,False
charngram,N-functional_packaging-03,neg,functional_packaging,0.0235,False,P-recycled_recyclable-04,Tappo riciclabile insieme alla bottiglia,False
charngram,N-functional_packaging-04,neg,functional_packaging,-0.006,True,N-tests_tolerance-03,Raccomandato dai dermatologi,False
charngram,N-functional_packaging-05,neg,functional_packaging,-0.0488,True,N-functional_packaging-01,Confezione salvafreschezza,True
intfloat/multilingual-e5-base,P-brand_eco_slogan-01,pos,brand_eco_slogan,0.0343,True,P-brand_eco_slogan-03,Fiorentini per l'ambiente,True
intfloat/multilingual-e5-base,P-brand_eco_slogan-02,pos,brand_eco_slogan,0.0389,True,P-brand_eco_slogan-03,Fiorentini per l'ambiente,True
intfloat/multilingual-e5-base,P-brand_eco_slogan-03,pos,brand_eco_slogan,0.0414,True,P-brand_eco_slogan-02,Coop per l'ambiente,True
intfloat/multilingual-e5-base,P-brand_eco_slogan-04,pos,brand_eco_slogan,0.0069,True,P-brand_eco_slogan-05,Gallo green,True
intfloat/multilingual-e5-base,P-brand_eco_slogan-05,pos,brand_eco_slogan,0.0376,True,P-generic_green-06,Flacone green 100%,False
intfloat/multilingual-e5-base,P-brand_eco_slogan-06,pos,brand_eco_slogan,0.0649,True,P-generic_green-05,Il nostro impegno per te e per il pianeta,False
intfloat/multilingual-e5-base,P-brand_eco_slogan-07,pos,brand_eco_slogan,0.0159,True,P-generic_green-09,Ho a cuore l'ambiente,False
intfloat/multilingual-e5-base,P-brand_eco_slogan-08,pos,brand_eco_slogan,0.0231,True,P-generic_green-05,Il nostro impegno per te e per il pianeta,False
intfloat/multilingual-e5-base,P-brand_eco_slogan-09,pos,brand_eco_slogan,0.0503,True,P-generic_green-05,Il nostro impegno per te e per il pianeta,False
intfloat/multilingual-e5-base,P-generic_green-01,pos,generic_green,0.0389,True,P-brand_eco_slogan-02,Coop per l'ambiente,False
intfloat/multilingual-e5-base,P-generic_green-02,pos,generic_green,0.0161,True,P-brand_eco_slogan-02,Coop per l'ambiente,False
intfloat/multilingual-e5-base,P-generic_green-03,pos,generic_green,0.0297,True,P-undefined_natural-04,Prodotto con ingredienti di origine naturale,False
intfloat/multilingual-e5-base,P-generic_green-04,pos,generic_green,0.0598,True,P-generic_green-05,Il nostro impegno per te e per il pianeta,True
intfloat/multilingual-e5-base,P-generic_green-05,pos,generic_green,0.0281,True,P-generic_green-04,Fai la differenziata per il pianeta,True
intfloat/multilingual-e5-base,P-generic_green-06,pos,generic_green,0.0271,True,P-vegan-05,100% vegetale,False
intfloat/multilingual-e5-base,P-generic_green-07,pos,generic_green,0.0502,True,P-generic_green-02,gestito con ecosostenibilità,True
intfloat/multilingual-e5-base,P-generic_green-08,pos,generic_green,0.0311,True,P-risk_reduction-02,Aiuta a ridurre il rischio di arrossamenti,False
intfloat/multilingual-e5-base,P-generic_green-09,pos,generic_green,0.0208,True,P-brand_eco_slogan-02,Coop per l'ambiente,False
intfloat/multilingual-e5-base,P-generic_green-10,pos,generic_green,0.0614,True,P-recycled_recyclable-02,Qualità Pampers in cartoni 100% riciclati,False
intfloat/multilingual-e5-base,P-vague_comparison-01,pos,vague_comparison,0.0686,True,P-vague_comparison-02,75% In meno di plastica,True
intfloat/multilingual-e5-base,P-vague_comparison-02,pos,vague_comparison,0.0493,True,P-vague_comparison-01,-17% Plastica rispetto al pack precedente,True
intfloat/multilingual-e5-base,P-vague_comparison-03,pos,vague_comparison,0.0314,True,P-vague_supply_chain-03,Agricoltura sostenibile,False
intfloat/multilingual-e5-base,P-undefined_natural-01,pos,undefined_natural,0.0152,True,P-vegan-05,100% vegetale,False
intfloat/multilingual-e5-base,P-undefined_natural-02,pos,undefined_natural,0.0479,True,P-undefined_natural-04,Prodotto con ingredienti di origine naturale,True
intfloat/multilingual-e5-base,P-undefined_natural-03,pos,undefined_natural,0.0357,True,P-undefined_natural-04,Prodotto con ingredienti di origine naturale,True
intfloat/multilingual-e5-base,P-undefined_natural-04,pos,undefined_natural,0.0501,True,P-undefined_natural-02,Ingredienti di origine naturale,True
intfloat/multilingual-e5-base,P-climate_neutral-01,pos,climate_neutral,0.0505,True,P-climate_neutral-02,Emissioni zero / Questa confezione è Carbon Neutral: ciò significa che neutralizziamo le emissioni di CO2 generate dalla sua produzione,True
intfloat/multilingual-e5-base,P-climate_neutral-02,pos,climate_neutral,0.0749,True,P-climate_neutral-01,CO2 100% prodotto a impatto climatico neutralizzato,True
intfloat/multilingual-e5-base,P-climate_neutral-03,pos,climate_neutral,0.0113,True,P-climate_neutral-01,CO2 100% prodotto a impatto climatico neutralizzato,True
intfloat/multilingual-e5-base,P-climate_neutral-04,pos,climate_neutral,0.0557,True,P-generic_green-05,Il nostro impegno per te e per il pianeta,False
intfloat/multilingual-e5-base,P-climate_neutral-05,pos,climate_neutral,0.0148,True,P-climate_neutral-01,CO2 100% prodotto a impatto climatico neutralizzato,True
intfloat/multilingual-e5-base,P-vague_supply_chain-01,pos,vague_supply_chain,-0.0246,False,N-performance-06,Massima protezione e comfort,False
intfloat/multilingual-e5-base,P-vague_supply_chain-02,pos,vague_supply_chain,0.0136,True,P-vague_supply_chain-03,Agricoltura sostenibile,True
intfloat/multilingual-e5-base,P-vague_supply_chain-03,pos,vague_supply_chain,0.038,True,P-vague_supply_chain-02,Agricoltori selezionati,True
intfloat/multilingual-e5-base,P-certification-01,pos,certification,0.0141,True,P-certification-05,Cosmetico biologico certificato ICEA,True
intfloat/multilingual-e5-base,P-certification-02,pos,certification,0.0367,True,P-certification-04,Certificato Ecolabel UE,True
intfloat/multilingual-e5-base,P-certification-03,pos,certification,0.0031,True,P-undefined_natural-04,Prodotto con ingredienti di origine naturale,False
intfloat/multilingual-e5-base,P-certification-04,pos,certification,0.0416,True,P-certification-02,Carta certificata FSC®,True
intfloat/multilingual-e5-base,P-certification-05,pos,certification,0.0065,True,P-certification-04,Certificato Ecolabel UE,True
intfloat/multilingual-e5-base,P-recycled_recyclable-01,pos,recycled_recyclable,0.0296,True,P-recycled_recyclable-04,Tappo riciclabile insieme alla bottiglia,True
intfloat/multilingual-e5-base,P-recycled_recyclable-02,pos,recycled_recyclable,0.0582,True,P-generic_green-10,Eco pack 100% riciclabile - Con meno plastica,False
intfloat/multilingual-e5-base,P-recycled_recyclable-03,pos,recycled_recyclable,0.0438,True,P-generic_green-10,Eco pack 100% riciclabile - Con meno plastica,False
intfloat/multilingual-e5-base,P-recycled_recyclable-04,pos,recycled_recyclable,0.0134,True,P-recycled_recyclable-01,Etichetta in carta riciclata,True
intfloat/multilingual-e5-base,P-biodegradable-01,pos,biodegradable,0.0464,True,P-biodegradable-02,Formula biodegradabile,True
intfloat/multilingual-e5-base,P-biodegradable-02,pos,biodegradable,0.0236,True,P-biodegradable-01,"Formula vegana & biodegradabile^ ... 99,9% formula biodegradabile",True
intfloat/multilingual-e5-base,P-biodegradable-03,pos,biodegradable,0.0254,True,P-biodegradable-02,Formula biodegradabile,True
intfloat/multilingual-e5-base,P-biodegradable-04,pos,biodegradable,0.0272,True,P-generic_green-10,Eco pack 100% riciclabile - Con meno plastica,False
intfloat/multilingual-e5-base,P-named_endorsement-01,pos,named_endorsement,0.026,True,P-named_endorsement-02,Prodotto consigliato dall'Associazione Italiana Celiachia,True
intfloat/multilingual-e5-base,P-named_endorsement-02,pos,named_endorsement,0.004,True,P-named_endorsement-01,Approvata da A.I.Nut. - Associazione Italiana Nutrizionisti,True
intfloat/multilingual-e5-base,P-named_endorsement-03,pos,named_endorsement,0.0211,True,P-generic_green-05,Il nostro impegno per te e per il pianeta,False
intfloat/multilingual-e5-base,P-vegan-01,pos,vegan,0.0328,True,P-defined_term-03,"Naturale al 100%** ... **nessun ingrediente di sintesi, solo estratti vegetali e acqua",False
intfloat/multilingual-e5-base,P-vegan-02,pos,vegan,0.0074,True,P-brand_eco_slogan-04,Vivi Verde,False
intfloat/multilingual-e5-base,P-vegan-03,pos,vegan,-0.0169,False,N-tests_tolerance-04,Adatto alle pelli sensibili,False
intfloat/multilingual-e5-base,P-vegan-04,pos,vegan,-0.0104,False,N-free_from_non_pollutant-04,Senza coloranti artificiali,False
intfloat/multilingual-e5-base,P-vegan-05,pos,vegan,0.0117,True,P-undefined_natural-01,100% Naturale,False
intfloat/multilingual-e5-base,P-farming_practice-01,pos,farming_practice,0.0063,True,P-defined_term-02,"Ingredienti di origine naturale* ... *il 95% degli ingredienti deriva da piante, minerali o acqua",False
intfloat/multilingual-e5-base,P-farming_practice-02,pos,farming_practice,0.001,True,P-farming_practice-03,Maiali allevati senza uso di antibiotici,True
intfloat/multilingual-e5-base,P-farming_practice-03,pos,farming_practice,0.0392,True,P-farming_practice-04,Coltivato senza l'uso di pesticidi di sintesi,True
intfloat/multilingual-e5-base,P-farming_practice-04,pos,farming_practice,0.0131,True,P-vegan-04,Senza ingredienti di origine animale,False
intfloat/multilingual-e5-base,P-farming_practice-05,pos,farming_practice,0.0034,True,P-recycled_recyclable-01,Etichetta in carta riciclata,False
intfloat/multilingual-e5-base,P-defined_term-01,pos,defined_term,0.0681,True,P-defined_term-02,"Ingredienti di origine naturale* ... *il 95% degli ingredienti deriva da piante, minerali o acqua",True
intfloat/multilingual-e5-base,P-defined_term-02,pos,defined_term,0.0564,True,P-undefined_natural-03,94% Ingredienti di origine naturale,False
intfloat/multilingual-e5-base,P-defined_term-03,pos,defined_term,0.0598,True,P-defined_term-02,"Ingredienti di origine naturale* ... *il 95% degli ingredienti deriva da piante, minerali o acqua",True
intfloat/multilingual-e5-base,P-defined_term-04,pos,defined_term,0.0701,True,P-defined_term-01,96% Natural origin* ... water and naturally sourced ingredients with limited processing,True
intfloat/multilingual-e5-base,P-risk_reduction-01,pos,risk_reduction,0.0337,True,P-risk_reduction-03,Riduce il rischio di carie,True
intfloat/multilingual-e5-base,P-risk_reduction-02,pos,risk_reduction,0.0289,True,P-risk_reduction-03,Riduce il rischio di carie,True
intfloat/multilingual-e5-base,P-risk_reduction-03,pos,risk_reduction,0.0328,True,P-risk_reduction-02,Aiuta a ridurre il rischio di arrossamenti,True
intfloat/multilingual-e5-base,P-named_comparison-01,pos,named_comparison,0.0612,True,P-vague_comparison-02,75% In meno di plastica,False
intfloat/multilingual-e5-base,P-named_comparison-02,pos,named_comparison,0.0538,True,P-named_comparison-01,20% di plastica in meno rispetto al nostro flacone da 500 ml,True
intfloat/multilingual-e5-base,P-named_comparison-03,pos,named_comparison,0.0636,True,P-climate_neutral-01,CO2 100% prodotto a impatto climatico neutralizzato,False
intfloat/multilingual-e5-base,P-pollutant_free-01,pos,pollutant_free,0.0075,True,P-pollutant_free-04,Senza siliconi,True
intfloat/multilingual-e5-base,P-pollutant_free-02,pos,pollutant_free,-0.0033,False,N-free_from_non_pollutant-01,Senza conservanti,False
intfloat/multilingual-e5-base,P-pollutant_free-03,pos,pollutant_free,0.0017,True,P-pollutant_free-02,Senza fosfati,True
intfloat/multilingual-e5-base,P-pollutant_free-04,pos,pollutant_free,0.006,True,P-pollutant_free-01,Senza microplastiche,True
intfloat/multilingual-e5-base,N-health_nutrition-01,neg,health_nutrition,-0.0063,True,N-performance-06,Massima protezione e comfort,False
intfloat/multilingual-e5-base,N-health_nutrition-02,neg,health_nutrition,0.0049,False,P-undefined_natural-03,94% Ingredienti di origine naturale,False
intfloat/multilingual-e5-base,N-health_nutrition-03,neg,health_nutrition,0.0122,False,P-undefined_natural-02,Ingredienti di origine naturale,False
intfloat/multilingual-e5-base,N-health_nutrition-04,neg,health_nutrition,-0.006,True,N-natural_flavour-02,Gusto naturale,False
intfloat/multilingual-e5-base,N-performance-01,neg,performance,-0.0157,True,N-health_nutrition-01,Speziato e Antiossidante,False
intfloat/multilingual-e5-base,N-performance-02,neg,performance,-0.0117,True,N-health_nutrition-04,Alta digeribilità,False
intfloat/multilingual-e5-base,N-performance-03,neg,performance,0.0065,False,P-pollutant_free-03,Privo di PFAS,False
intfloat/multilingual-e5-base,N-performance-04,neg,performance,-0.001,True,N-tests_tolerance-04,Adatto alle pelli sensibili,False
intfloat/multilingual-e5-base,N-performance-05,neg,performance,-0.0108,True,N-performance-06,Massima protezione e comfort,True
intfloat/multilingual-e5-base,N-performance-06,neg,performance,0.0115,False,P-vague_supply_chain-01,Tracciabilità e sicurezza,False
intfloat/multilingual-e5-base,N-performance-07,neg,performance,0.017,False,P-risk_reduction-03,Riduce il rischio di carie,False
intfloat/multilingual-e5-base,N-performance-08,neg,performance,-0.0263,True,N-performance-01,Protegge dagli agenti esterni,True
intfloat/multilingual-e5-base,N-tests_tolerance-01,neg,tests_tolerance,-0.0105,True,N-tests_tolerance-03,Raccomandato dai dermatologi,True
intfloat/multilingual-e5-base,N-tests_tolerance-02,neg,tests_tolerance,-0.003,True,N-tests_tolerance-03,Raccomandato dai dermatologi,True
intfloat/multilingual-e5-base,N-tests_tolerance-03,neg,tests_tolerance,-0.0068,True,N-tests_tolerance-01,Clinicamente testate,True
intfloat/multilingual-e5-base,N-tests_tolerance-04,neg,tests_tolerance,0.0055,False,P-vegan-03,Adatto a una dieta vegana,False
intfloat/multilingual-e5-base,N-tradition_history-01,neg,tradition_history,-0.0141,True,N-tradition_history-04,le inimitabili ricette di famiglia,True
intfloat/multilingual-e5-base,N-tradition_history-02,neg,tradition_history,-0.0078,True,N-tradition_history-04,le inimitabili ricette di famiglia,True
intfloat/multilingual-e5-base,N-tradition_history-03,neg,tradition_history,-0.0131,True,N-quality_scheme-03,Specialità Tradizionale Garantita,False
intfloat/multilingual-e5-base,N-tradition_history-04,neg,tradition_history,0.0095,False,P-undefined_natural-02,Ingredienti di origine naturale,False
intfloat/multilingual-e5-base,N-patents-01,neg,patents,0.0072,False,P-farming_practice-05,Raccolti a mano,False
intfloat/multilingual-e5-base,N-patents-02,neg,patents,0.0158,False,P-biodegradable-02,Formula biodegradabile,False
